CoC,Count,"Sheltered ES Homeless, 2009","Sheltered TH Homeless, 2009","Sheltered Total Homeless, 2009","Unsheltered Homeless, 2009","Overall Homeless Individuals, 2009","Sheltered ES Homeless Individuals, 2009","Sheltered TH Homeless Individuals, 2009","Sheltered Total Homeless Individuals, 2009","Unsheltered Homeless Individuals, 2009","Overall Homeless People in Families, 2009","Sheltered ES Homeless People in Families, 2009","Sheltered TH Homeless People in Families, 2009","Sheltered Total Homeless People in Families, 2009","Unsheltered Homeless People in Families, 2009","Overall Homeless Family Households, 2009","Sheltered ES Homeless Family Households, 2009","Sheltered TH Homeless Family Households, 2009","Sheltered Total Homeless Family Households, 2009","Unsheltered Homeless Family Households, 2009","Overall Chronically Homeless Individuals, 2009","Sheltered ES Chronically Homeless Individuals, 2009","Sheltered Total Chronically Homeless Individuals, 2009","Unsheltered Chronically Homeless Individuals, 2009"
OH-503,1359,"1,120",131,"1,251",108,972,762,108,870,102,387,358,23,381,6,119,109,9,118,1,271,174,174,97
OH-504,183,67,110,177,6,83,52,25,77,6,100,15,85,100,0,31,4,27,31,0,7,6,6,1
OH-505,837,572,251,823,14,502,353,135,488,14,335,219,116,335,0,112,69,43,112,0,52,44,44,8
OH-506,820,327,331,658,162,549,233,174,407,142,271,94,157,251,20,93,29,54,83,10,217,119,119,98
OH-507,4770,"1,650","2,108","3,758","1,012","2,324",943,686,"1,629",695,"2,446",707,"1,422","2,129",317,844,248,501,749,95,537,405,405,132
OH-508,410,173,160,333,77,223,119,35,154,69,187,54,125,179,8,53,18,32,50,3,55,36,36,19
OK-500,316,116,56,172,144,156,42,19,61,95,160,74,37,111,49,61,30,15,45,16,36,23,23,13
OK-501,826,560,237,797,29,646,451,166,617,29,180,109,71,180,0,59,35,24,59,0,83,78,78,5
OK-502,1475,803,300,"1,103",372,"1,208",652,190,842,366,267,151,110,261,6,95,46,47,93,2,384,322,322,62
OK-503,340,229,60,289,51,207,145,30,175,32,133,84,30,114,19,56,37,15,52,4,7,7,7,0
OK-504,585,132,157,289,296,370,94,80,174,196,215,38,77,115,100,69,13,26,39,30,51,23,23,28
OK-505,635,181,83,264,371,328,90,26,116,212,307,91,57,148,159,103,30,20,50,53,72,71,71,1
OK-506,272,210,42,252,20,156,139,0,139,17,116,71,42,113,3,30,19,10,29,1,13,7,7,6
OK-507,389,85,56,141,248,156,31,30,61,95,233,54,26,80,153,72,16,9,25,47,8,7,7,1
OR-500,2232,681,318,999,"1,233","1,506",421,96,517,989,726,260,222,482,244,237,79,78,157,80,498,273,273,225
OR-501,4085,820,"1,674","2,494","1,591","2,945",650,782,"1,432","1,513","1,140",170,892,"1,062",78,391,54,302,356,35,785,231,231,554
